date,fund,shares_outstanding,hype_held,aum_usd,nav_per_share,source
2026-05-26,BHYP,1850000,1037410.00,,,user-confirmed from bhypetf.com
2026-05-26,THYP,1550000,897094.3313,,,user-confirmed from 21shares.com
